"Tanggal","ID_Mahasiswa","Jenis_Kelamin","Program_Studi","Semester","IPK_Terakhir","Perangkat_Andal","Koneksi_Stabil","Jenis_Perangkat","Platform_Daring","Interaktif_Daring","Responsivitas_Dosen","Diskusi_Teman","Fitur_Interaktif","Motivasi_Daring","Materi_Menarik","Tujuan_Akademik","Faktor_Motivasi","Gangguan_Teknis","Fokus_Daring","Tantangan_Utama","Perlu_Ditingkatkan"
"19772","M0001","Tidak ingin menyebutkan","Teknik Perminyakan",4,3.9,1,2,"Smartphone","Zoom",1,4,"Jarang","Tidak Ada",2,3,"Tidak","Interaksi dosen","Jarang",5,"Kurang interaksi","Kualitas Perangkat, Interaksi Mahasiswa, Materi Kuliah"
"19820","M0002","Tidak ingin menyebutkan","Teknik Perminyakan",6,3.9,2,3,"Tablet","Google Meet",1,1,"Jarang","Polling",3,1,"Ya","Fleksibilitas waktu","Kadang-kadang",4,"Tidak bisa diskusi tatap muka","Materi Kuliah, Koneksi Internet"
"19536","M0003","Laki-laki","Teknik Informatika",5,2.6,4,3,"Laptop","Google Classroom",2,3,"Tidak Pernah","Chat",2,5,"Ya","Bisa belajar lebih dalam","Kadang-kadang",3,"Tidak bisa diskusi tatap muka","Lainnya, Kualitas Perangkat"
"19883","M0004","Perempuan","Desain Produk",7,3.5,3,2,"Smartphone","Zoom",1,2,"Sering","Tidak Ada",1,2,"Ya","Tugas yang menarik","Kadang-kadang",5,"Kurang interaksi","Koneksi Internet, Kualitas Perangkat"
"19552","M0005","Perempuan","Desain Produk",2,2.4,5,5,"Tablet","Google Classroom",4,2,"Selalu","Polling",1,2,"Tidak","Interaksi dosen","Tidak Pernah",3,"Tidak bisa diskusi tatap muka","Lainnya, Interaksi Mahasiswa, Interaksi Dosen"
"19475","M0006","Perempuan","Teknik Informatika",6,3.9,3,2,"Tablet","Zoom",5,5,"Sering","Polling",2,5,"Ya","Bisa belajar lebih dalam","Jarang",3,"Sulit bertanya dengan bebas","Interaksi Dosen, Koneksi Internet"
"19656","M0007","Perempuan","Desain Produk",8,2.1,5,4,"Smartphone","Google Meet",4,5,"Sering","Breakout Rooms",5,5,"Ya","Akses materi daring","Selalu",1,"Sulit fokus","Koneksi Internet"
"19586","M0008","Perempuan","Teknik Informatika",5,4,3,2,"Smartphone","Google Classroom",4,1,"Selalu","Tidak Ada",5,2,"Ya","Efisiensi","Jarang",2,"Tidak bisa diskusi tatap muka","Interaksi Mahasiswa"
"19601","M0009","Laki-laki","Teknik Perminyakan",5,2.4,4,5,"Laptop","Zoom",1,1,"Kadang-kadang","Chat",4,2,"Ya","Tugas yang menarik","Sering",1,"Sulit fokus","Materi Kuliah, Koneksi Internet"
"19371","M0010","Laki-laki","Sains Data",4,2.6,1,5,"Tablet","Google Classroom",1,1,"Sering","Polling",5,3,"Ya","Akses materi daring","Selalu",2,"Kurang memahami materi sulit","Interaksi Mahasiswa, Koneksi Internet"
"19731","M0011","Tidak ingin menyebutkan","Teknik Perminyakan",3,2.2,2,2,"Tablet","Zoom",1,5,"Jarang","Tidak Ada",5,5,"Tidak","Akses materi daring","Selalu",5,"Gangguan teknis","Interaksi Dosen"
"20022","M0012","Laki-laki","Teknik Perminyakan",4,3.2,4,2,"Laptop","Google Meet",2,1,"Sering","Polling",5,5,"Tidak","Fleksibilitas waktu","Jarang",1,"Sulit fokus","Kualitas Perangkat, Materi Kuliah"
"19959","M0013","Tidak ingin menyebutkan","Desain Produk",2,3.3,2,2,"Laptop","Zoom",2,5,"Kadang-kadang","Chat",5,4,"Ya","Bisa belajar lebih dalam","Kadang-kadang",5,"Kurang memahami materi sulit","Kualitas Perangkat"
"19960","M0014","Tidak ingin menyebutkan","Desain Produk",5,4,4,5,"Smartphone","Google Classroom",4,2,"Tidak Pernah","Polling",5,5,"Ya","Efisiensi","Tidak Pernah",4,"Kurang interaksi","Materi Kuliah"
"20066","M0015","Perempuan","Teknik Informatika",4,2.4,4,3,"Smartphone","Zoom",4,5,"Sering","Polling",3,1,"Ya","Akses materi daring","Tidak Pernah",5,"Koneksi internet lambat","Koneksi Internet, Kualitas Perangkat"
"19448","M0016","Tidak ingin menyebutkan","Teknik Pertambangan",4,3.6,2,1,"Laptop","Google Classroom",2,3,"Selalu","Chat",4,3,"Ya","Fleksibilitas waktu","Jarang",4,"Kurang interaksi","Lainnya, Interaksi Dosen"
"19705","M0017","Perempuan","Teknik Perminyakan",5,3.2,3,5,"Smartphone","Google Meet",1,4,"Kadang-kadang","Polling",1,2,"Ya","Bisa belajar lebih dalam","Sering",3,"Gangguan teknis","Koneksi Internet"
"20006","M0018","Laki-laki","Desain Produk",4,4,4,1,"Laptop","Google Classroom",5,3,"Tidak Pernah","Chat",5,2,"Ya","Efisiensi","Kadang-kadang",3,"Tidak bisa diskusi tatap muka","Lainnya, Interaksi Dosen"
"19712","M0019","Laki-laki","Sains Data",7,2.9,2,1,"Tablet","Zoom",2,1,"Kadang-kadang","Polling",4,1,"Ya","Akses materi daring","Jarang",5,"Gangguan teknis","Interaksi Dosen, Interaksi Mahasiswa"
"19383","M0020","Perempuan","Sains Data",3,3.4,4,1,"Laptop","Zoom",4,2,"Kadang-kadang","Chat",2,2,"Tidak","Tugas yang menarik","Selalu",3,"Kurang interaksi","Materi Kuliah, Interaksi Dosen"
"19876","M0021","Laki-laki","Desain Produk",8,2.2,3,2,"Laptop","Google Classroom",3,3,"Kadang-kadang","Breakout Rooms",3,3,"Ya","Efisiensi","Selalu",3,"Kurang memahami materi sulit","Koneksi Internet"
"19783","M0022","Tidak ingin menyebutkan","Teknik Perminyakan",1,3.3,5,3,"Tablet","Zoom",1,3,"Sering","Chat",2,2,"Ya","Bisa belajar lebih dalam","Jarang",5,"Sulit fokus","Interaksi Mahasiswa, Lainnya, Koneksi Internet"
"20006","M0023","Perempuan","Teknik Informatika",4,2.4,2,5,"Smartphone","Zoom",1,2,"Tidak Pernah","Polling",4,3,"Tidak","Bisa belajar lebih dalam","Jarang",4,"Tidak bisa diskusi tatap muka","Interaksi Dosen, Lainnya, Kualitas Perangkat"
"19568","M0024","Perempuan","Desain Produk",2,3.8,4,4,"Smartphone","Google Classroom",5,5,"Kadang-kadang","Tidak Ada",2,1,"Ya","Akses materi daring","Tidak Pernah",2,"Kurang interaksi","Materi Kuliah, Kualitas Perangkat"
"19947","M0025","Tidak ingin menyebutkan","Teknik Pertambangan",5,3.6,1,2,"Laptop","Zoom",4,2,"Kadang-kadang","Polling",1,5,"Ya","Tugas yang menarik","Sering",5,"Sulit fokus","Kualitas Perangkat, Lainnya"
"19950","M0026","Laki-laki","Sains Data",3,3.7,4,4,"Tablet","Zoom",1,1,"Kadang-kadang","Polling",4,4,"Tidak","Tugas yang menarik","Sering",3,"Tidak bisa diskusi tatap muka","Kualitas Perangkat"
"19912","M0027","Laki-laki","Desain Produk",5,3.6,5,5,"Smartphone","Google Classroom",5,4,"Kadang-kadang","Tidak Ada",2,3,"Ya","Fleksibilitas waktu","Tidak Pernah",1,"Kurang memahami materi sulit","Interaksi Mahasiswa, Kualitas Perangkat, Lainnya"
"19730","M0028","Perempuan","Desain Produk",7,2.8,4,1,"Laptop","Google Meet",2,4,"Jarang","Chat",3,1,"Tidak","Efisiensi","Tidak Pernah",5,"Koneksi internet lambat","Interaksi Dosen, Kualitas Perangkat"
